cod_barrio,count
1-1,4792
1-2,22112
1-3,2432
1-4,28
1-5,62
1-6,5728
10-1,12
10-2,9
10-3,0
10-4,0
10-5,0
10-6,0
10-7,0
11-1,3
11-2,0
11-3,9
11-4,0
11-5,0
11-6,0
11-7,0
12-1,0
12-2,0
12-3,0
12-4,0
12-5,0
12-6,0
12-7,0
13-1,0
13-2,0
13-3,0
13-4,0
13-5,0
13-6,0
14-1,0
14-2,0
14-3,0
14-4,0
14-5,0
14-6,0
15-1,0
15-2,0
15-3,0
15-4,0
15-5,0
15-6,0
15-7,0
15-8,0
15-9,0
16-1,0
16-2,0
16-3,0
16-4,0
16-5,0
16-6,0
17-1,0
17-2,0
17-3,0
17-4,0
17-5,0
18-1,0
18-2,0
18-3,0
19-1,0
19-2,0
19-3,0
2-1,2334
2-2,3316
2-3,555
2-4,866
2-5,951
2-6,3187
2-7,182
20-1,0
20-2,0
20-3,0
20-4,0
20-5,0
20-6,0
20-7,0
20-8,0
21-1,0
21-2,0
21-3,0
21-4,0
21-5,0
3-1,0
3-2,0
3-3,0
3-4,530
3-5,71
3-6,146
4-1,45
4-2,574
4-3,0
4-4,0
4-5,0
4-6,0
5-1,0
5-2,0
5-3,0
5-4,0
5-5,0
5-6,0
6-1,59
6-2,1497
6-3,882
6-4,26
6-5,46
6-6,47
7-1,0
7-2,0
7-3,1059
7-4,943
7-5,2
7-6,1
8-1,0
8-2,0
8-3,0
8-4,0
8-5,0
8-6,0
8-7,0
9-1,3
9-2,0
9-3,0
9-4,0
9-5,0
9-6,0
9-7,0
